Date,gasprice,Day,Mean TemperatureF,PrecipitationIn, Events,Smartrip,Ridership
1/15/2008,2.986,Tuesday,35,T,Snow,115,724000
1/16/2008,2.986,Wednesday,38,0,,115,722000
1/17/2008,2.986,Thursday,37,0.75,Rain-Snow,115,710000
1/18/2008,2.986,Friday,41,T,,115,698000
1/19/2008,2.986,Saturday,39,T,Snow,115,265000
1/20/2008,2.986,Sunday,28,0,,115,159000
1/21/2008,2.92,Monday,25,0,,115,256000
1/22/2008,2.92,Tuesday,34,T,Rain,115,711000
1/23/2008,2.92,Wednesday,39,0,,115,709000
1/24/2008,2.92,Thursday,36,0,,115,718000
1/25/2008,2.92,Friday,29,0,,115,715000
1/26/2008,2.92,Saturday,35,0,,115,294000
1/27/2008,2.92,Sunday,38,0,,115,183000
1/28/2008,2.874,Monday,40,0,,115,664000
1/29/2008,2.874,Tuesday,44,0.05,Rain,115,692000
1/30/2008,2.874,Wednesday,46,0.01,Rain,115,698000
1/31/2008,2.874,Thursday,37,0,,115,703000
2/1/2008,2.874,Friday,41,2.05,Fog-Rain,115,663000
2/2/2008,2.874,Saturday,42,0,,115,287000
2/3/2008,2.874,Sunday,45,0,,115,165000
2/4/2008,2.876,Monday,48,0.01,Rain,115,662000
2/5/2008,2.876,Tuesday,53,T,Fog,115,703000
2/6/2008,2.876,Wednesday,65,0.14,Rain-Thunderstorm,115,708000
2/7/2008,2.876,Thursday,52,0.01,,115,714000
2/8/2008,2.876,Friday,45,0,,115,724000
2/9/2008,2.876,Saturday,49,0,,115,289000
2/10/2008,2.876,Sunday,37,T,Rain,115,184000
2/11/2008,2.847,Monday,24,0,,115,666000
2/12/2008,2.847,Tuesday,29,0.18,Rain-Snow,115,701000
2/13/2008,2.847,Wednesday,52,0,Rain,115,673000
2/14/2008,2.847,Thursday,36,0,,115,726000
2/15/2008,2.847,Friday,46,0,,115,693000
2/16/2008,2.847,Saturday,40,0,,115,299000
2/17/2008,2.847,Sunday,43,T,,115,197000
2/18/2008,2.959,Monday,59,0.22,Rain,115,278000
2/19/2008,2.959,Tuesday,40,0,,115,697000
2/20/2008,2.959,Wednesday,32,0.02,Snow,115,721000
2/21/2008,2.959,Thursday,28,T,Snow,115,725000
2/22/2008,2.959,Friday,33,0.29,Rain-Snow,115,602000
2/23/2008,2.959,Saturday,38,0,,115,277000
2/24/2008,2.959,Sunday,37,T,,115,176000
2/25/2008,3.093,Monday,45,0,,115,678000
2/26/2008,3.093,Tuesday,47,0.09,Rain,115,714000
2/27/2008,3.093,Wednesday,38,0,,115,719000
2/28/2008,3.093,Thursday,30,0,,115,719000
2/29/2008,3.093,Friday,38,T,,115,680000
3/1/2008,3.093,Saturday,45,T,Rain,115,284000
3/2/2008,3.093,Sunday,42,0,,115,185000
3/3/2008,3.117,Monday,54,0,,115,694000
3/4/2008,3.117,Tuesday,64,0.39,Rain,115,716000
3/5/2008,3.117,Wednesday,52,0.45,Rain-Thunderstorm,115,734000
3/6/2008,3.117,Thursday,47,0,,115,726000
3/7/2008,3.117,Friday,45,0.59,Rain,115,700000
3/8/2008,3.117,Saturday,50,0.18,Rain,115,280000
3/9/2008,3.117,Sunday,38,0,,115,199000
3/10/2008,3.161,Monday,42,T,Rain,115,688000
3/11/2008,3.161,Tuesday,46,T,Rain,115,745000
3/12/2008,3.161,Wednesday,50,0,,115,750000
3/13/2008,3.161,Thursday,49,0,,115,751000
3/14/2008,3.161,Friday,57,T,Rain,115,745000
3/15/2008,3.161,Saturday,56,0.03,Rain,115,368000
3/16/2008,3.161,Sunday,47,0.57,Rain,115,216000
3/17/2008,3.218,Monday,44,0,,115,722000
3/18/2008,3.218,Tuesday,50,T,,115,748000
3/19/2008,3.218,Wednesday,61,0.51,Rain,115,743000
3/20/2008,3.218,Thursday,54,0.03,Rain,115,765000
3/21/2008,3.218,Friday,49,0,,115,693000
3/22/2008,3.218,Saturday,46,0,,115,321000
3/23/2008,3.218,Sunday,43,0,,115,196000
3/24/2008,3.213,Monday,45,0,,115,684000
3/25/2008,3.213,Tuesday,44,0,,115,744000
3/26/2008,3.213,Wednesday,60,0,,115,773000
3/27/2008,3.213,Thursday,54,0.01,Rain,115,751000
3/28/2008,3.213,Friday,60,0,,115,765000
3/29/2008,3.213,Saturday,45,0,,115,569000
3/30/2008,3.213,Sunday,42,0,,115,323000
3/31/2008,3.24,Monday,47,0.04,Rain,115,692000
4/1/2008,3.24,Tuesday,64,0.1,Rain,115,764000
4/2/2008,3.24,Wednesday,52,0,,115,783000
4/3/2008,3.24,Thursday,46,0.66,Rain,115,777000
4/4/2008,3.24,Friday,53,0.09,Rain,115,763000
4/5/2008,3.24,Saturday,58,0.01,,115,453000
4/6/2008,3.24,Sunday,49,0.37,Rain,115,249000
4/7/2008,3.284,Monday,47,T,Rain,115,731000
4/8/2008,3.284,Tuesday,50,T,,115,748000
4/9/2008,3.284,Wednesday,58,0,,115,796000
4/10/2008,3.284,Thursday,64,0,Fog,115,792000
4/11/2008,3.284,Friday,70,0.09,Rain,115,819000
4/12/2008,3.284,Saturday,65,0.23,Rain-Thunderstorm,115,467000
4/13/2008,3.284,Sunday,51,0.01,,115,267000
4/14/2008,3.312,Monday,50,0.01,Rain,115,725000
4/15/2008,3.312,Tuesday,52,0,,115,766000
4/16/2008,3.312,Wednesday,57,0,,115,777000
4/17/2008,3.312,Thursday,62,0,,115,819000
4/18/2008,3.312,Friday,69,0,,115,754000
4/19/2008,3.312,Saturday,69,0,,115,360000
4/20/2008,3.312,Sunday,63,1.4,Fog-Rain-Thunderstorm,115,193000
4/21/2008,3.447,Monday,61,0.67,Rain-Thunderstorm,115,685000
4/22/2008,3.447,Tuesday,64,T,Rain,115,769000
4/23/2008,3.447,Wednesday,66,0,,115,797000
4/24/2008,3.447,Thursday,69,0,,115,822000
4/25/2008,3.447,Friday,69,0,,115,788000
4/26/2008,3.447,Saturday,72,0.26,Rain-Thunderstorm,115,369000
4/27/2008,3.447,Sunday,56,0.06,Rain,115,236000
4/28/2008,3.529,Monday,59,0.96,Rain,115,670000
4/29/2008,3.529,Tuesday,57,T,Rain,115,749000
4/30/2008,3.529,Wednesday,53,T,Rain,115,761000
5/1/2008,3.529,Thursday,60,0.04,Rain,115,755000
5/2/2008,3.529,Friday,68,0,,115,784000
5/3/2008,3.529,Saturday,72,T,Rain,115,367000
5/4/2008,3.529,Sunday,66,0,,115,256000
5/5/2008,3.532,Monday,63,0,,115,708000
5/6/2008,3.532,Tuesday,67,0,,115,743000
5/7/2008,3.532,Wednesday,69,0,,115,747000
5/8/2008,3.532,Thursday,69,1.32,Rain-Thunderstorm,115,734000
5/9/2008,3.532,Friday,61,2.22,Fog-Rain-Thunderstorm,115,701000
5/10/2008,3.532,Saturday,60,0.22,Rain,115,349000
5/11/2008,3.532,Sunday,57,2.63,Rain,115,186000
5/12/2008,3.657,Monday,50,1.32,Rain,115,641000
5/13/2008,3.657,Tuesday,61,0,,115,751000
5/14/2008,3.657,Wednesday,63,0,,115,757000
5/15/2008,3.657,Thursday,70,0.29,Rain,115,770000
5/16/2008,3.657,Friday,65,0.53,Rain,115,728000
5/17/2008,3.657,Saturday,64,0.01,,115,360000
5/18/2008,3.657,Sunday,64,0.05,Rain,115,207000
5/19/2008,3.73,Monday,62,0,,115,735000
5/20/2008,3.73,Tuesday,58,0.58,Rain,115,748000
5/21/2008,3.73,Wednesday,62,T,Rain,115,776000
5/22/2008,3.73,Thursday,61,0,,115,751000
5/23/2008,3.73,Friday,62,0,,115,730000
5/24/2008,3.73,Saturday,65,0,,115,384000
5/25/2008,3.73,Sunday,67,0,,115,349000
5/26/2008,3.883,Monday,72,0,,115,300000
5/27/2008,3.883,Tuesday,76,T,Rain,115,709000
5/28/2008,3.883,Wednesday,65,T,Rain,115,753000
5/29/2008,3.883,Thursday,65,0,,115,768000
5/30/2008,3.883,Friday,71,0,,115,774000
5/31/2008,3.883,Saturday,78,1.45,Fog-Rain-Thunderstorm,115,292000
6/1/2008,3.883,Sunday,76,0,,115,254000
6/2/2008,3.906,Monday,71,0,,115,744000
6/3/2008,3.906,Tuesday,72,0.79,Rain-Thunderstorm,115,807000
6/4/2008,3.906,Wednesday,77,1.49,Rain-Thunderstorm,115,771000
6/5/2008,3.906,Thursday,77,0,,115,812000
6/6/2008,3.906,Friday,77,0,,115,788000
6/7/2008,3.906,Saturday,86,0.15,Fog-Rain-Thunderstorm,115,388000
6/8/2008,3.906,Sunday,85,0,,115,235000
6/9/2008,3.949,Monday,87,0,,115,745000
6/10/2008,3.949,Tuesday,85,0.33,Rain-Hail-Thunderstorm,115,771000
6/11/2008,3.949,Wednesday,80,0,,115,799000
6/12/2008,3.949,Thursday,81,0,Rain,115,800000
6/13/2008,3.949,Friday,80,0,,115,705000
6/14/2008,3.949,Saturday,81,0.13,Rain-Thunderstorm,115,323000
6/15/2008,3.949,Sunday,79,0,,115,241000
6/16/2008,3.997,Monday,77,0.88,Fog-Rain-Thunderstorm,115,734000
6/17/2008,3.997,Tuesday,72,0,Thunderstorm,115,806000
6/18/2008,3.997,Wednesday,70,T,Rain-Thunderstorm,115,815000
6/19/2008,3.997,Thursday,68,0,Rain,115,814000
6/20/2008,3.997,Friday,72,0,,115,823000
6/21/2008,3.997,Saturday,76,0.08,Rain-Thunderstorm,115,405000
6/22/2008,3.997,Sunday,77,0.06,Rain-Thunderstorm,115,287000
6/23/2008,3.987,Monday,77,0.14,Rain-Thunderstorm,115,771000
6/24/2008,3.987,Tuesday,73,0,,115,830000
6/25/2008,3.987,Wednesday,77,0,,115,840000
6/26/2008,3.987,Thursday,83,0,,115,814000
6/27/2008,3.987,Friday,85,0.09,Rain-Thunderstorm,115,819000
6/28/2008,3.987,Saturday,83,0.5,Rain-Thunderstorm,115,428000
6/29/2008,3.987,Sunday,82,0,,115,305000
6/30/2008,3.99,Monday,77,0.16,Rain-Thunderstorm,115,755000
7/1/2008,3.99,Tuesday,74,0,,115,818000
7/2/2008,3.99,Wednesday,77,0,,115,831000
7/3/2008,3.99,Thursday,81,0,,115,800000
7/4/2008,3.99,Friday,80,0.05,Rain-Thunderstorm,115,588000
7/5/2008,3.99,Saturday,82,0.07,Rain,115,373000
7/6/2008,3.99,Sunday,78,0.01,Rain-Thunderstorm,115,253000
7/7/2008,4.019,Monday,79,0,,115,737000
7/8/2008,4.019,Tuesday,81,0,,115,829000
7/9/2008,4.019,Wednesday,81,0.01,Rain,115,811000
7/10/2008,4.019,Thursday,82,0,,115,839000
7/11/2008,4.019,Friday,81,0,,115,849000
7/12/2008,4.019,Saturday,83,0,,115,405000
7/13/2008,4.019,Sunday,83,0.58,Rain-Thunderstorm,115,262000
7/14/2008,4.024,Monday,79,0.53,Rain,115,766000
7/15/2008,4.024,Tuesday,79,0,,115,824000
7/16/2008,4.024,Wednesday,82,0,,115,825000
7/17/2008,4.024,Thursday,84,0.26,Rain-Thunderstorm,115,834000
7/18/2008,4.024,Friday,85,0,,115,804000
7/19/2008,4.024,Saturday,84,0,,115,356000
7/20/2008,4.024,Sunday,86,0,Thunderstorm,115,241000
7/21/2008,3.977,Monday,86,T,Rain,115,759000
7/22/2008,3.977,Tuesday,84,0.04,Rain-Thunderstorm,115,796000
7/23/2008,3.977,Wednesday,78,1.09,Rain-Thunderstorm,115,804000
7/24/2008,3.977,Thursday,76,T,Rain,115,808000
7/25/2008,3.977,Friday,78,0,,115,786000
7/26/2008,3.977,Saturday,81,0,,115,357000
7/27/2008,3.977,Sunday,81,0.95,Fog-Rain-Thunderstorm,115,223000
7/28/2008,3.868,Monday,78,T,,115,762000
7/29/2008,3.868,Tuesday,83,0.01,Rain,115,829000
7/30/2008,3.868,Wednesday,85,0,,115,812000
7/31/2008,3.868,Thursday,83,T,Rain,115,810000
8/1/2008,3.868,Friday,84,0,,115,797000
8/2/2008,3.868,Saturday,82,0.23,Rain-Thunderstorm,115,363000
8/3/2008,3.868,Sunday,79,0,,115,274000
8/4/2008,3.776,Monday,80,0,,115,733000
8/5/2008,3.776,Tuesday,81,T,,115,769000
8/6/2008,3.776,Wednesday,85,0,,115,773000
8/7/2008,3.776,Thursday,80,0.13,Rain-Thunderstorm,115,762000
8/8/2008,3.776,Friday,78,T,Rain,115,741000
8/9/2008,3.776,Saturday,74,0,,115,351000
8/10/2008,3.776,Sunday,77,T,Rain,115,208000
8/11/2008,3.689,Monday,74,0,,115,709000
8/12/2008,3.689,Tuesday,75,0,,115,771000
8/13/2008,3.689,Wednesday,78,0,,115,770000
8/14/2008,3.689,Thursday,77,0.2,Rain-Thunderstorm,115,769000
8/15/2008,3.689,Friday,75,T,Rain,115,744000
8/16/2008,3.689,Saturday,76,0,,115,371000
8/17/2008,3.689,Sunday,78,0,,115,242000
8/18/2008,3.583,Monday,81,0,,115,680000
8/19/2008,3.583,Tuesday,82,0,,115,718000
8/20/2008,3.583,Wednesday,75,0,,115,718000
8/21/2008,3.583,Thursday,77,0,,115,725000
8/22/2008,3.583,Friday,77,0,,115,708000
8/23/2008,3.583,Saturday,77,0,,115,309000
8/24/2008,3.583,Sunday,80,0,,115,204000
8/25/2008,3.498,Monday,83,0,,115,666000
8/26/2008,3.498,Tuesday,76,0,,115,728000
8/27/2008,3.498,Wednesday,74,T,Rain,115,723000
8/28/2008,3.498,Thursday,72,0.48,Rain,115,710000
8/29/2008,3.498,Friday,74,0.19,Rain,115,671000
8/30/2008,3.498,Saturday,81,0,,115,326000
8/31/2008,3.498,Sunday,79,0,,115,253000
9/1/2008,3.525,Monday,77,0,,115,225000
9/2/2008,3.525,Tuesday,79,0,,115,698000
9/3/2008,3.525,Wednesday,82,0,,115,744000
9/4/2008,3.525,Thursday,85,0,,115,738000
9/5/2008,3.525,Friday,82,0.4,Rain,115,739000
9/6/2008,3.525,Saturday,76,3.5,Rain,115,194000
9/7/2008,3.525,Sunday,76,0,,115,213000
9/8/2008,3.516,Monday,78,0,,115,724000
9/9/2008,3.516,Tuesday,77,0.18,Rain,115,737000
9/10/2008,3.516,Wednesday,74,T,Rain,115,757000
9/11/2008,3.516,Thursday,74,0,,115,765000
9/12/2008,3.516,Friday,76,0.03,Rain,115,734000
9/13/2008,3.516,Saturday,84,0,,115,352000
9/14/2008,3.516,Sunday,84,0,,115,224000
9/15/2008,3.76,Monday,80,0,,115,732000
9/16/2008,3.76,Tuesday,71,0,,115,771000
9/17/2008,3.76,Wednesday,70,0,,115,777000
9/18/2008,3.76,Thursday,72,0,,115,787000
9/19/2008,3.76,Friday,68,0,,115,774000
9/20/2008,3.76,Saturday,66,0,,115,348000
9/21/2008,3.76,Sunday,69,0,,115,240000
9/22/2008,3.708,Monday,73,0,,115,715000
9/23/2008,3.708,Tuesday,70,0,,115,773000
9/24/2008,3.708,Wednesday,65,0,,115,777000
9/25/2008,3.708,Thursday,62,0.21,Rain,115,761000
9/26/2008,3.708,Friday,66,0.65,Rain,115,727000
9/27/2008,3.708,Saturday,74,0.35,Rain-Thunderstorm,115,330000
9/28/2008,3.708,Sunday,74,0.65,Rain,115,195000
9/29/2008,3.607,Monday,70,0.01,,115,706000
9/30/2008,3.607,Tuesday,68,0.44,Rain-Thunderstorm,115,720000
10/1/2008,3.607,Wednesday,65,0.04,Rain,115,738000
10/2/2008,3.607,Thursday,60,0,,115,772000
10/3/2008,3.607,Friday,63,0,,115,762000
10/4/2008,3.607,Saturday,66,0,,115,359000
10/5/2008,3.607,Sunday,67,0,,115,264000
10/6/2008,3.436,Monday,64,0,,115,736000
10/7/2008,3.436,Tuesday,59,0,,115,775000
10/8/2008,3.436,Wednesday,61,T,Rain,115,770000
10/9/2008,3.436,Thursday,72,0,,115,747000
10/10/2008,3.436,Friday,70,0,,115,759000
10/11/2008,3.436,Saturday,66,0,,115,387000
10/12/2008,3.436,Sunday,66,0,,115,256000
10/13/2008,3.038,Monday,69,0,,115,409000
10/14/2008,3.038,Tuesday,70,0,,115,743000
10/15/2008,3.038,Wednesday,75,0,,115,765000
10/16/2008,3.038,Thursday,73,T,Rain,115,766000
10/17/2008,3.038,Friday,58,0,,115,771000
10/18/2008,3.038,Saturday,55,0,,115,365000
10/19/2008,3.038,Sunday,51,0,,115,229000
10/20/2008,2.763,Monday,50,0,,115,715000
10/21/2008,2.763,Tuesday,55,0,,115,743000
10/22/2008,2.763,Wednesday,51,0,,115,752000
10/23/2008,2.763,Thursday,49,0,,115,757000
10/24/2008,2.763,Friday,51,T,Rain,115,769000
10/25/2008,2.763,Saturday,59,0.84,Fog-Rain,115,321000
10/26/2008,2.763,Sunday,54,0,,115,314000
10/27/2008,2.48,Monday,47,0.18,Rain,115,714000
10/28/2008,2.48,Tuesday,47,0.07,Rain,115,751000
10/29/2008,2.48,Wednesday,46,0,,115,750000
10/30/2008,2.48,Thursday,46,0,,115,747000
10/31/2008,2.48,Friday,49,0,,115,769000
11/1/2008,2.48,Saturday,58,0,,115,304000
11/2/2008,2.48,Sunday,54,0,,115,199000
11/3/2008,2.243,Monday,54,T,,115,736000
11/4/2008,2.243,Tuesday,55,0.07,Rain,115,685000
11/5/2008,2.243,Wednesday,62,0.02,Rain,115,724000
11/6/2008,2.243,Thursday,63,0.01,Rain,115,762000
11/7/2008,2.243,Friday,62,0,,115,774000
11/8/2008,2.243,Saturday,61,T,Rain,115,357000
11/9/2008,2.243,Sunday,53,0,,115,218000
11/10/2008,2.092,Monday,45,0,,115,689000
11/11/2008,2.092,Tuesday,43,0,,115,434000
11/12/2008,2.092,Wednesday,47,T,Rain,115,747000
11/13/2008,2.092,Thursday,49,0.76,Rain,115,731000
11/14/2008,2.092,Friday,54,0.01,Fog-Rain,115,786000
11/15/2008,2.092,Saturday,63,0.74,Rain-Thunderstorm,115,349000
11/16/2008,2.092,Sunday,45,0,,115,231000
11/17/2008,1.977,Monday,41,T,Rain,115,734000
11/18/2008,1.977,Tuesday,36,T,Snow,115,767000
11/19/2008,1.977,Wednesday,34,0,,115,761000
11/20/2008,1.977,Thursday,41,0,,115,753000
11/21/2008,1.977,Friday,34,T,Snow,115,738000
11/22/2008,1.977,Saturday,32,0,,115,307000
11/23/2008,1.977,Sunday,35,0,,115,185000
11/24/2008,1.808,Monday,42,0.08,Rain,115,701000
11/25/2008,1.808,Tuesday,43,0,,115,715000
11/26/2008,1.808,Wednesday,39,0,,115,627000
11/27/2008,1.808,Thursday,39,0,,115,112000
11/28/2008,1.808,Friday,42,0,,115,390000
11/29/2008,1.808,Saturday,40,T,,115,262000
11/30/2008,1.808,Sunday,41,0.74,Fog-Rain,115,152000
12/1/2008,1.735,Monday,45,0,,115,681000
12/2/2008,1.735,Tuesday,40,0,,115,733000
12/3/2008,1.735,Wednesday,37,0,,115,745000
12/4/2008,1.735,Thursday,46,0.04,Rain,115,766000
12/5/2008,1.735,Friday,34,0,,115,745000
12/6/2008,1.735,Saturday,30,T,Snow,115,290000
12/7/2008,1.735,Sunday,30,0,,115,174000
12/8/2008,1.637,Monday,28,0,,115,678000
12/9/2008,1.637,Tuesday,41,0.02,Rain,115,732000
12/10/2008,1.637,Wednesday,57,0.07,Fog-Rain,115,741000
12/11/2008,1.637,Thursday,48,1.66,Rain,115,727000
12/12/2008,1.637,Friday,38,0.05,Rain,115,731000
12/13/2008,1.637,Saturday,34,0,,115,292000
12/14/2008,1.637,Sunday,39,0,,115,193000
12/15/2008,1.575,Monday,55,0.07,Rain,115,693000
12/16/2008,1.575,Tuesday,45,0.47,Rain,115,716000
12/17/2008,1.575,Wednesday,41,0.12,Rain,115,718000
12/18/2008,1.575,Thursday,41,0,,115,733000
12/19/2008,1.575,Friday,44,0.33,Rain,115,677000
12/20/2008,1.575,Saturday,36,0,,115,280000
12/21/2008,1.575,Sunday,36,0.1,Rain,115,182000
12/22/2008,1.58,Monday,22,0,,115,579000
12/23/2008,1.58,Tuesday,26,0,,115,562000
12/24/2008,1.58,Wednesday,46,T,Rain,115,382000
12/25/2008,1.58,Thursday,45,0,,115,70000
12/26/2008,1.58,Friday,35,0.04,Rain,115,269000
12/27/2008,1.58,Saturday,49,T,,115,253000
12/28/2008,1.58,Sunday,60,T,Rain,115,187000
12/29/2008,1.532,Monday,45,0,,115,557000
12/30/2008,1.532,Tuesday,47,0,,115,599000
12/31/2008,1.532,Wednesday,36,T,Rain-Snow,115,522000
1/1/2009,1.532,Thursday,29,0,,120,151000
1/2/2009,1.532,Friday,37,0,,120,443000
1/3/2009,1.532,Saturday,39,0,,120,280000
1/4/2009,1.532,Sunday,36,0,,120,164000
1/5/2009,1.554,Monday,44,T,Rain,120,666000
1/6/2009,1.554,Tuesday,37,0.52,Rain,120,713000
1/7/2009,1.554,Wednesday,38,1.26,Rain,120,702000
1/8/2009,1.554,Thursday,36,T,,120,731000
1/9/2009,1.554,Friday,33,0,,120,735000
1/10/2009,1.554,Saturday,36,0.14,Rain,120,307000
1/11/2009,1.554,Sunday,34,0.1,Rain,120,196000
1/12/2009,1.649,Monday,34,0,,120,723000
1/13/2009,1.649,Tuesday,34,0,,120,757000
1/14/2009,1.649,Wednesday,29,0,,120,762000
1/15/2009,1.649,Thursday,23,T,Snow,120,756000
1/16/2009,1.649,Friday,15,0,,120,717000
1/17/2009,1.649,Saturday,18,0,,120,373000
1/18/2009,1.649,Sunday,32,0,,120,594000
1/19/2009,1.743,Monday,30,T,Snow,120,867000
1/20/2009,1.743,Tuesday,25,0,,120,1120000
1/21/2009,1.743,Wednesday,26,0,,120,776000
1/22/2009,1.743,Thursday,30,0,,120,813000
1/23/2009,1.743,Friday,38,0,,120,763000
1/24/2009,1.743,Saturday,37,0,,120,304000
1/25/2009,1.743,Sunday,27,0,,120,171000
1/26/2009,1.751,Monday,28,T,Snow,120,692000
1/27/2009,1.751,Tuesday,29,0.39,Rain-Snow,120,707000
1/28/2009,1.751,Wednesday,37,0.27,Rain,120,602000
1/29/2009,1.751,Thursday,33,0,,120,739000
1/30/2009,1.751,Friday,34,0,,120,726000
1/31/2009,1.751,Saturday,29,0,,120,300000
2/1/2009,1.751,Sunday,44,0,,120,198000
2/2/2009,1.804,Monday,45,T,Snow,120,698000
2/3/2009,1.804,Tuesday,36,0.03,Snow,120,733000
2/4/2009,1.804,Wednesday,30,T,Snow,120,744000
2/5/2009,1.804,Thursday,21,0,,120,748000
2/6/2009,1.804,Friday,30,0,,120,750000
2/7/2009,1.804,Saturday,43,0,,120,372000
2/8/2009,1.804,Sunday,54,T,,120,226000
2/9/2009,1.853,Monday,41,0,,120,695000
2/10/2009,1.853,Tuesday,49,0,,120,732000
2/11/2009,1.853,Wednesday,59,0.06,Rain,120,746000
2/12/2009,1.853,Thursday,54,0,,120,749000
2/13/2009,1.853,Friday,44,0,,120,737000
2/14/2009,1.853,Saturday,40,T,Rain,120,320000
2/15/2009,1.853,Sunday,37,0,,120,222000
2/16/2009,1.875,Monday,36,0,,120,287000
2/17/2009,1.875,Tuesday,34,0,,120,725000
2/18/2009,1.875,Wednesday,41,0.14,Rain-Snow,120,739000
2/19/2009,1.875,Thursday,39,T,Rain,120,729000
2/20/2009,1.875,Friday,31,0,,120,746000
2/21/2009,1.875,Saturday,35,0,,120,336000
2/22/2009,1.875,Sunday,36,0.03,Rain-Snow,120,188000
2/23/2009,1.825,Monday,31,0,,120,693000
2/24/2009,1.825,Tuesday,31,0,,120,740000
2/25/2009,1.825,Wednesday,37,0,,120,745000
2/26/2009,1.825,Thursday,46,T,,120,765000
2/27/2009,1.825,Friday,54,0.05,Rain,120,749000
2/28/2009,1.825,Saturday,44,0.04,Snow,120,323000
3/1/2009,1.825,Sunday,35,0.25,Fog-Rain-Snow,230,196000
3/2/2009,1.827,Monday,25,0.25,Snow,230,491000
3/3/2009,1.827,Tuesday,22,0,,230,731000
3/4/2009,1.827,Wednesday,29,0,,230,736000
3/5/2009,1.827,Thursday,39,0,,230,762000
3/6/2009,1.827,Friday,53,0,,230,750000
3/7/2009,1.827,Saturday,57,0,,230,363000
3/8/2009,1.827,Sunday,65,0,,230,228000
3/9/2009,1.835,Monday,56,0,,230,721000
3/10/2009,1.835,Tuesday,44,0,,230,763000
3/11/2009,1.835,Wednesday,58,T,,230,771000
3/12/2009,1.835,Thursday,43,0,,230,768000
3/13/2009,1.835,Friday,38,T,Rain-Snow,230,741000
3/14/2009,1.835,Saturday,41,0.1,Rain,230,377000
3/15/2009,1.835,Sunday,42,0.09,Rain,230,222000
3/16/2009,1.832,Monday,45,0.08,Rain,230,728000
3/17/2009,1.832,Tuesday,46,0.09,Rain,230,781000
3/18/2009,1.832,Wednesday,51,0,Fog,230,786000
3/19/2009,1.832,Thursday,52,0.04,Rain,230,768000
3/20/2009,1.832,Friday,41,0,,230,771000
3/21/2009,1.832,Saturday,40,0,,230,395000
3/22/2009,1.832,Sunday,48,0,,230,243000
3/23/2009,1.905,Monday,44,0,,230,714000
3/24/2009,1.905,Tuesday,39,0,,230,762000
3/25/2009,1.905,Wednesday,43,0,,230,764000
3/26/2009,1.905,Thursday,45,0.33,Rain,230,747000
3/27/2009,1.905,Friday,53,0.17,Rain,230,767000
3/28/2009,1.905,Saturday,50,0.52,Rain,230,363000
3/29/2009,1.905,Sunday,62,0.08,Fog-Rain,230,239000
3/30/2009,1.963,Monday,51,0,,230,721000
3/31/2009,1.963,Tuesday,50,0,,230,777000
4/1/2009,1.963,Wednesday,53,0.18,Rain,230,776000
4/2/2009,1.963,Thursday,56,0.14,Fog-Rain,230,799000
4/3/2009,1.963,Friday,65,0.63,Rain,230,791000
4/4/2009,1.963,Saturday,57,0,,230,694000
4/5/2009,1.963,Sunday,57,0,,230,458000
4/6/2009,1.97,Monday,53,0.15,Rain,230,755000
4/7/2009,1.97,Tuesday,44,0,,230,810000
4/8/2009,1.97,Wednesday,46,0,,230,814000
4/9/2009,1.97,Thursday,52,0,,230,840000
4/10/2009,1.97,Friday,61,0,,230,767000
4/11/2009,1.97,Saturday,53,0.4,Rain,230,374000
4/12/2009,1.97,Sunday,47,0,,230,239000
4/13/2009,1.974,Monday,47,0.02,Rain,230,775000
4/14/2009,1.974,Tuesday,48,0.44,Rain,230,765000
4/15/2009,1.974,Wednesday,46,0.56,Rain,230,787000
4/16/2009,1.974,Thursday,52,0,,230,806000
4/17/2009,1.974,Friday,57,0,,230,828000
4/18/2009,1.974,Saturday,63,0,,230,430000
4/19/2009,1.974,Sunday,63,T,Rain,230,252000
4/20/2009,1.971,Monday,55,1.19,Rain,230,690000
4/21/2009,1.971,Tuesday,59,0.36,Rain-Thunderstorm,230,778000
4/22/2009,1.971,Wednesday,53,0.04,Rain-Thunderstorm,230,784000
4/23/2009,1.971,Thursday,55,0,,230,795000
4/24/2009,1.971,Friday,59,0,,230,792000
4/25/2009,1.971,Saturday,71,0.01,Rain-Thunderstorm,230,366000
4/26/2009,1.971,Sunday,76,0,,230,229000
4/27/2009,1.966,Monday,76,0,,230,705000
4/28/2009,1.966,Tuesday,74,0,,230,759000
4/29/2009,1.966,Wednesday,62,0.1,Rain,230,726000
4/30/2009,1.966,Thursday,56,T,,230,744000
5/1/2009,1.966,Friday,68,T,Rain,230,741000
5/2/2009,1.966,Saturday,65,0.04,Rain,230,343000
5/3/2009,1.966,Sunday,58,0.83,Rain,230,183000
5/4/2009,1.978,Monday,55,0.6,Rain,230,697000
5/5/2009,1.978,Tuesday,56,0.27,Rain,230,745000
5/6/2009,1.978,Wednesday,60,0.96,Rain-Thunderstorm,230,737000
5/7/2009,1.978,Thursday,66,0.53,Fog-Rain-Thunderstorm,230,740000
5/8/2009,1.978,Friday,66,T,Fog,230,739000
5/9/2009,1.978,Saturday,74,T,Rain,230,349000
5/10/2009,1.978,Sunday,66,0,,230,209000
5/11/2009,2.147,Monday,57,0.3,Rain,230,689000
5/12/2009,2.147,Tuesday,58,0,,230,750000
