Year,Date,Ridership,Day,Business_day,Holiday,Gas Price,Weather
2014,8/20,710,Wednesday,1,0,3.145   ,
2014,8/21,717,Thursday,1,0,3.145   ,
2014,8/22,685,Friday,1,0,3.145   ,
2014,8/23,298,Saturday,0,0,3.145   ,
2014,8/24,237,Sunday,0,0,3.145   ,
2014,8/25,655,Monday,1,0,3.145   ,
2014,8/26,696,Tuesday,1,0,3.145   ,
2014,8/27,704,Wednesday,1,0,3.059   ,
2014,8/28,696,Thursday,1,0,3.059   ,
2014,8/29,353,Friday,1,0,3.059   ,
2014,8/30,314,Saturday,0,0,3.059   ,
2014,8/31,220,Sunday,0,0,3.059   ,
2014,9/1,191,Monday,1,1,3.059   ,
2014,9/2,662,Tuesday,1,0,3.059   ,
2014,9/3,711,Wednesday,1,0,2.971   ,
2014,9/4,719,Thursday,1,0,2.971   ,
2014,9/5,714,Friday,1,0,2.971   ,
2014,9/6,301,Saturday,0,0,2.971   ,
2014,9/7,219,Sunday,0,0,2.971   ,
2014,9/8,698,Monday,1,0,2.971   ,
2014,9/9,744,Tuesday,1,0,2.971   ,
2014,9/10,758,Wednesday,1,0,2.884   ,
2014,9/11,725,Thursday,1,0,2.884   ,
2014,9/12,722,Friday,1,0,2.884   ,
2014,9/13,309,Saturday,0,0,2.884   ,
2014,9/14,237,Sunday,0,0,2.884   ,
2014,9/15,692,Monday,1,0,2.884   ,
2014,9/16,736,Tuesday,1,0,2.884   ,
2014,9/17,746,Wednesday,1,0,2.816   ,
2014,9/18,739,Thursday,1,0,2.816   ,
2014,9/19,718,Friday,1,0,2.816   ,
2014,9/20,339,Saturday,0,0,2.816   ,
2014,9/21,216,Sunday,0,0,2.816   ,
2014,9/22,713,Monday,1,0,2.816   ,
2014,9/23,745,Tuesday,1,0,2.816   ,
2014,9/24,734,Wednesday,1,0,2.801   ,
2014,9/25,740,Thursday,1,0,2.801   ,
2014,9/26,748,Friday,1,0,2.801   ,
2014,9/27,360,Saturday,0,0,2.801   ,
2014,9/28,228,Sunday,0,0,2.801   ,
2014,9/29,684,Monday,1,0,2.801   ,
2014,9/30,722,Tuesday,1,0,2.801   ,
2014,10/1,7733,Wednesday,1,0,2.754   ,
2014,10/2,748,Thursday,1,0,2.754   ,
2014,10/3,745,Friday,1,0,2.754   ,
2014,10/4,348,Saturday,0,0,2.754   ,
2014,10/5,222,Sunday,0,0,2.754   ,
2014,10/6,712,Monday,1,0,2.754   ,
2014,10/7,733,Tuesday,1,0,2.754   ,
2014,10/8,747,Wednesday,1,0,2.708   ,
2014,10/9,753,Thursday,1,0,2.708   ,
2014,10/10,701,Friday,1,0,2.708   ,
2014,10/11,324,Saturday,0,0,2.708   ,
2014,10/12,295,Sunday,0,0,2.708   ,
2014,10/13,377,Monday,1,1,2.708   ,
2014,10/14,737,Tuesday,1,0,2.708   ,
2014,10/15,717,Wednesday,1,0,2.680   ,
2014,10/16,753,Thursday,1,0,2.680   ,
2014,10/17,743,Friday,1,0,2.680   ,
2014,10/18,346,Saturday,0,0,2.680   ,
2014,10/19,214,Sunday,0,0,2.680   ,
2014,10/20,692,Monday,1,0,2.680   ,
2014,10/21,725,Tuesday,1,0,2.680   ,
2014,10/22,713,Wednesday,1,0,2.597   ,
2014,10/23,750,Thursday,1,0,2.597   ,
2014,10/24,743,Friday,1,0,2.597   ,
2014,10/25,357,Saturday,0,0,2.597   ,
2014,10/26,310,Sunday,0,0,2.597   ,
2014,10/27,685,Monday,1,0,2.597   ,
2014,10/28,727,Tuesday,1,0,2.597   ,
2014,10/29,730,Wednesday,1,0,2.493   ,
2014,10/30,732,Thursday,1,0,2.493   ,
2014,10/31,729,Friday,1,0,2.493   ,
2014,11/1,291,Saturday,0,0,2.493   ,
2014,11/2,197,Sunday,0,0,2.493   ,
2014,11/3,681,Monday,1,0,2.493   ,
2014,11/4,723,Tuesday,1,0,2.493   ,
2014,11/5,741,Wednesday,1,0,2.375   ,
2014,11/6,746,Thursday,1,0,2.375   ,
2014,11/7,730,Friday,1,0,2.375   ,
2014,11/8,346,Saturday,0,0,2.375   ,
2014,11/9,216,Sunday,0,0,2.375   ,
2014,11/10,643,Monday,1,0,2.375   ,
2014,11/11,525,Tuesday,1,1,2.375   ,
2014,11/12,734,Wednesday,1,0,2.281  ,
2014,11/13,734,Thursday,1,0,2.281  ,
2014,11/14,741,Friday,1,0,2.281  ,
2014,11/15,331,Saturday,0,0,2.281  ,
2014,11/16,220,Sunday,0,0,2.281  ,
2014,11/17,687,Monday,1,0,2.281  ,
2014,11/18,733,Tuesday,1,0,2.281  ,
2014,11/19,745,Wednesday,1,0,2.708   ,
2014,11/20,728,Thursday,1,0,2.708   ,
2014,11/21,704,Friday,1,0,2.708   ,
2014,11/22,291,Saturday,0,0,2.708   ,
2014,11/23,178,Sunday,0,0,2.708   ,
