Date,Ridership
11/16/2005,716000
11/17/2005,715000
11/18/2005,695000
11/19/2005,298000
11/20/2005,189000
11/21/2005,654000
11/22/2005,674000
11/23/2005,594000
11/24/2005,178000
11/25/2005,323000
11/26/2005,218000
11/27/2005,164000
11/28/2005,625000
11/29/2005,665000
11/30/2005,699000
12/1/2005,717000
12/2/2005,697000
12/3/2005,268000
12/4/2005,160000
12/5/2005,675000
12/6/2005,687000
12/7/2005,710000
12/8/2005,708000
12/9/2005,621000
12/10/2005,270000
12/11/2005,164000
12/12/2005,655000
12/13/2005,690000
12/14/2005,684000
12/15/2005,673000
12/16/2005,676000
12/17/2005,270000
12/18/2005,184000
12/19/2005,641000
12/20/2005,654000
12/21/2005,634000
12/22/2005,602000
12/23/2005,484000
12/24/2005,155000
12/25/2005,52000
12/26/2005,180000
12/27/2005,483000
12/28/2005,541000
12/29/2005,520000
12/30/2005,515000
12/31/2005,242000
1/1/2006,121000
1/2/2006,157000
1/3/2006,583000
1/4/2006,626000
1/5/2006,638000
1/6/2006,636000
1/7/2006,224000
1/8/2006,149000
1/9/2006,646000
1/10/2006,686000
1/11/2006,682000
1/12/2006,691000
1/13/2006,681000
1/14/2006,260000
1/15/2006,169000
1/16/2006,250000
1/17/2006,660000
1/18/2006,667000
1/19/2006,697000
1/20/2006,695000
1/21/2006,289000
1/22/2006,176000
1/23/2006,699000
1/24/2006,697000
1/25/2006,687000
1/26/2006,691000
1/27/2006,690000
1/28/2006,332000
1/29/2006,188000
1/30/2006,649000
1/31/2006,673000
2/1/2006,690000
2/2/2006,706000
2/3/2006,697000
2/4/2006,238000
2/5/2006,173000
2/6/2006,656000
2/7/2006,693000
2/8/2006,697000
2/9/2006,697000
2/10/2006,699000
2/11/2006,240000
2/12/2006,148000
2/13/2006,626000
2/14/2006,690000
2/15/2006,696000
2/16/2006,706000
2/17/2006,688000
2/18/2006,279000
2/19/2006,187000
2/20/2006,270000
2/21/2006,677000
2/22/2006,678000
2/23/2006,695000
2/24/2006,692000
2/25/2006,289000
2/26/2006,156000
2/27/2006,649000
2/28/2006,678000
3/1/2006,691000
3/2/2006,694000
3/3/2006,682000
3/4/2006,270000
3/5/2006,181000
3/6/2006,664000
3/7/2006,736000
3/8/2006,718000
